StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1.1,Q1.2,Q1.2,Q1.3,Q1.4,Q2.1,Q3.1,Q3.2,Q3.3,Q3.3_10_TEXT,Q3.2.1,Q4.1,Q4.2,Q4.3,Q4.4,Q4.4_11_TEXT,Q5.1,Q5.2,Q5.3,Q5.4,Q5.4_13_TEXT,Q6.1,Q6.2,Q6.3,Q6.3_7_TEXT,Q7.1,Q7.2,Q7.2_8_TEXT,Q8.1_1,Q8.1_2,Q8.1_3,Q8.1_4,Q8.1_5,Q8.1_6,Q8.1_7,Q8.1_8,Q8.1_9,Q8.1_10,Q8.1_10_TEXT,Q8.1_11,Q8.1_11_TEXT,Q8.2,Q8.3,Q8.3_20_TEXT,Q8.4,Q8.4_10_TEXT,Q8.5,Q8.6,Q8.6_9_TEXT,Q8.1_3_TEXT - Parent Topics,Q8.1_3_TEXT - Topics
2021-04-06 06:32:51,2021-04-06 07:12:38,100,2386,True,2021-04-06 07:12:39,R_24MNaX51fDteFZh,Rotterdam School of Management (RSM),Accounting and control,,PhD student,ERIM,"I am aware, but have not used open science practices in my research",Moderately important,"I have some experience with study preregistration, but do not use it regularly",It might delay data collection,,,Moderately important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own","Other researchers might criticise my materials and/or code,Others might find it difficult to understand my materials and/or code,Sharing these materials and/or code could result in others asking me to provide assistance for their research,I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property",,Moderately important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to ethics,I think it is unfair for researchers beyond the original team to benefit (e.g., through future publications, career advancement) from my data collection,I might not receive appropriate credit for my data collection,I might lose control over how my data are being used,Other researchers could use my data for another study that I intended to conduct in the future,It will take too much time or effort to share research data",,Not at all important,"Until now, I was unaware of ""pre-publication archiving""","Some journals might not publish findings that are uploaded to a pre-publication archive,Other people might copy my research and publish it before I do,Non-peer-reviewed findings might add noise to the literature,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,I don’t know/prefer not to answer,I don’t know/prefer not to answer,,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I use this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,,I am unaware of this,,"Yes, I participated and got an ORCID iD","Lack of recognition in my field about the value of open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Researchers are discouraged from engaging in open science practices by their colleagues,Lack of interest from researchers",,I don’t know/prefer not to answer,,Yes,I don’t know/prefer not to answer,,,
2021-04-06 07:29:10,2021-04-06 07:39:54,100,643,True,2021-04-06 07:39:56,R_3huzLA1lqdhjKrW,Rotterdam School of Management (RSM),Marketing management,,Tenure track,ERIM,I have extensive experience with open science practices,Extremely important,"I am aware of study preregistration, but have not used it in my research",I do not share any of these concerns,,,Extremely important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,Reuse of my materials and/or code could violate the epistemological framework of my research,,Extremely important,"I have some experience using open data, but do not use them regularly","I have some experience sharing open data, but not regularly",There could be issues related to privacy,,Extremely important,I have some experience with pre-publication archiving,Non-peer-reviewed findings might add noise to the literature,,All,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,I collaborated with others and other co-author paid the fees with their research funding",,"I am aware of it, but don't use it",I use this,"I am aware of it, but don't use it",I am unaware of this,I use this,I use this,I am unaware of this,I use this,I am unaware of this,,,,,I don't know/prefer not to answer,"Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of mandates from funders, institutions or other regulators,Lack of interest from researchers",,"Yes, I share my knowledge with my colleagues informally",,Yes,"Preregistration,Open Data",,,
2021-04-06 08:43:55,2021-04-06 09:02:36,100,1120,True,2021-04-06 09:02:37,R_3gSCnQmdHOTCmqC,Rotterdam School of Management (RSM),Marketing management,,Tenure track,ERIM,I have some experience with open science practices,Extremely important,"I am aware of study preregistration, but have not used it in my research",I do not share any of these concerns,,,Extremely important,I regularly use and/or create open materials and/or code,"I have some experience with open materials and/or code, but do not share mine regularly","I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property,Other",These concerns are not preventing me from sharing my materials and code. They are just things that I wish were addressed/prevented. ,Extremely important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to ethics,There could be issues related to privacy,Other","Ethics and privacy concerns need to be addressed before data collection, and again before data sharing. Open data doesn't mean sharing all data without any consideration for ethical and legal requirements. But sometimes it feels as if that's how it's interepreted.",Very important,I have some experience with pre-publication archiving,"Other people might copy my research and publish it before I do,Non-peer-reviewed findings might add noise to the literature",,I don’t know/prefer not to answer,Other,no publications so far,"I am aware of it, but don't use it",I use this,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of recognition in my field about the value of open science practices,Lack of mandates from funders, institutions or other regulators,Lack of information about open science practices,Lack of professional staff that provide support for open science practices,Lack of research funding to support open science practices,Lack of training required to implement open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata),Researchers are discouraged from engaging in open science practices by their colleagues,PhD students are discouraged from engaging in open science practices by thesis supervisors,Lack of interest from researchers,Other","ERIM & RSM requirements to publish in top journals that are sometimes even hostile towards Open Science. RSM & ERIM say they value open science, but their actions don't line up. Currently, researchers who adopt open science practices are appreciated if and only if they also publish in the top journals. So open science practices are an extra requirement, not something that is valued on its own.","Yes, I share my knowledge with my colleagues by offering seminars and/or giving talks,Yes, I share my knowledge with my students or fellow research students,Other",colleagues = RSM & non-RSM,Yes,Other,"all of them, but support should be more then ""provide information"". Real support would be taking into account the use of open science practices for tenure requirements - not as an additional requirement, but as something that can compensate the number of publications. ERIM should put more weight on research quality, and less so on quantity.",,
2021-04-06 03:34:24,2021-04-06 09:45:12,100,22248,True,2021-04-06 09:45:14,R_27iZkdcfyeuUezN,Rotterdam School of Management (RSM),Organisation & personnel management,,PhD student,ERIM,"I am aware, but have not used open science practices in my research",Very important,"I am aware of study preregistration, but have not used it in my research",I do not share any of these concerns,,,Slightly important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own",I do not share any of these concerns,,Slightly important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to intellectual property,There could be issues related to ethics,There could be issues related to privacy",,Not at all important,I don’t know/prefer not to answer,"Some journals might not publish findings that are uploaded to a pre-publication archive,Non-peer-reviewed findings might add noise to the literature,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,I don’t know/prefer not to answer,I don’t know/prefer not to answer,,"I am aware of it, but don't use it","I am aware of it, but don't use it",I use this,I am unaware of this,I use this,I use this,I use this,I am unaware of this,I am unaware of this,,,,,"Yes, I participated and got an ORCID iD","Lack of funding for open access publishing,Lack of recognition in my field about the value of open science practices,Lack of mandates from funders, institutions or other regulators,Lack of training required to implement open science practices,Researchers don't want to be told how to do their research,Lack of interest from researchers",,"Yes, I share my knowledge with my colleagues informally",,Yes,"Open access publishing,I don’t know/prefer not to answer",,,
2021-04-06 10:06:12,2021-04-06 10:12:55,100,402,True,2021-04-06 10:12:56,R_2xE4jNmkfwzHUGj,Rotterdam School of Management (RSM),Marketing management,,Tenured faculty member,ERIM,I have extensive experience with open science practices,Very important,I regularly preregister my studies,It might delay data collection,,30,Extremely important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,I do not share any of these concerns,,Extremely important,I regularly use open data,I regularly share open data,I do not share any of these concerns,,I don’t know/prefer not to answer,I have some experience with pre-publication archiving,"Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,Some,"My open access publications did not involve fees,I submit my research to journals that do not provide open access options",,I use this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I use this,I use this,I use this,I am unaware of this,I use this,aspredicted,"I am aware of it, but don't use it",researchbox,"No, I did not participate since I already had an ORCID iD","Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata)",,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with my colleagues by offering seminars and/or giving talks,Yes, I share my knowledge with my students or fellow research students",,Yes,"Preregistration,Open Materials and/or Code,Open Data,Open access publishing",,,
2021-04-06 10:41:18,2021-04-06 10:51:17,100,599,True,2021-04-06 10:51:17,R_2S3otgDQhJxfzAG,Rotterdam School of Management (RSM),Business-society management,,Tenure track,ERIM,"I am aware, but have not used open science practices in my research",Not at all important,"Until now, I was unaware of study preregistration",Other,They do not apply to me as I am a Qualitative Researcher,,Researchers in my discipline do not use materials and/or code,"Until now, I hadn't heard of open materials and/or code","Until now, I hadn't heard of open materials and/or code",Other,the context specific nature of qualitative data as well as ethical issues pertaining to anonymity and researcher/informant relationship make sharing qualitative data difficult in a quantitative understanding of open science,Not at all important,"Until now, I was unaware of open data","Until now, I was unaware of open data",Other,None of these questions take into account issues of open science with regards to qualitative research,Not at all important,"Until now, I was unaware of ""pre-publication archiving""",Other,does not apply to my work as a QUALITATIVE RESEARCHER ,Half,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I use this,I use this,I am unaware of this,I am unaware of this,I am unaware of this,,,,,"Yes, I participated and got an ORCID iD",Other,The open access discussion does not properly take into account issues with relation to how the framework would work for qualitative research,No,,No,,,,
2021-04-07 03:07:20,2021-04-07 03:13:16,100,356,True,2021-04-07 03:13:18,R_A1ca1U9aTdDFT9v,Rotterdam School of Management (RSM),Business-society management,,PhD student,ERIM,"I am aware, but have not used open science practices in my research",Moderately important,"I am aware of study preregistration, but have not used it in my research","I need to look at my data before I can decide how to best analyse it,Preregistration might lead to other people taking my research idea and implementing my plan",,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own",I do not share any of these concerns,,Very important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","There could be issues related to privacy,Other researchers could use my data for another study that I intended to conduct in the future,It devalues research data collection,It will take too much time or effort to share research data",,Moderately important,"Until now, I was unaware of ""pre-publication archiving""",I do not share any of these concerns,,I don’t know/prefer not to answer,I don’t know/prefer not to answer,,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I use this,I use this,I am unaware of this,I use this,I am unaware of this,,,,,"Yes, I participated and got an ORCID iD","Lack of funding for open access publishing,Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of mandates from funders, institutions or other regulators,Lack of information about open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices",,"Yes, I share my knowledge with my colleagues informally",,Yes,"Preregistration,Open access publishing",,,
2021-04-07 03:44:06,2021-04-07 03:52:31,100,505,True,2021-04-07 03:52:33,R_XoIbxkdd4lBghah,Rotterdam School of Management (RSM),Strategic management & entrepreneurship,,Tenured faculty member,Neither,"I am aware, but have not used open science practices in my research",Moderately important,"I am aware of study preregistration, but have not used it in my research","Preregistration stifles research creativity or flexibility,Preregistration might lead to other people taking my research idea and implementing my plan",,,Moderately important,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own","I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property",,Moderately important,"I have some experience using open data, but do not use them regularly","I am aware of open data, but have not shared my data","I think it is unfair for researchers beyond the original team to benefit (e.g., through future publications, career advancement) from my data collection,I might not receive appropriate credit for my data collection,Other researchers could use my data for another study that I intended to conduct in the future,It devalues research data collection",,Slightly important,"Until now, I was unaware of ""pre-publication archiving""","Other people might copy my research and publish it before I do,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,None,I submit my research to journals that do not provide open access options,,"I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,,,,,"No, I did not participate and I do not have an ORCID iD","Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of information about open science practices,Lack of time to learn open science practices",,No,,I don’t know/prefer not to answer,,,,
2021-04-07 08:21:20,2021-04-07 08:31:30,100,610,True,2021-04-07 08:31:30,R_2tsqmDU4kvaBQrE,Rotterdam School of Management (RSM),Technology & operation management,,Tenured faculty member,ERIM,I have some experience with open science practices,Very important,"I have some experience with study preregistration, but do not use it regularly","Preregistration prevents exploratory research,Preregistration might make it more difficult to publish in certain journals,Other",Journals have double standards: they want pre-registration but also perfect results and no exploration. ,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I have some experience with open materials and/or code, but do not share mine regularly","Other researchers might criticise my materials and/or code,Other researchers might find errors in my published work",,Moderately important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data",Other researchers might criticise my data and/or research practices,,Moderately important,"Until now, I was unaware of ""pre-publication archiving""","Some journals might not publish findings that are uploaded to a pre-publication archive,Availability of the pre-publication manuscript might highlight differences (e.g., errors in analysis; revisions to hypotheses) between the original conception of the research and the ultimately published work",,Some,My open access publications did not involve fees,,I am unaware of this,I am unaware of this,I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",,,,,"No, I did not participate and I do not have an ORCID iD","Lack of training required to implement open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata)",,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with my students or fellow research students",,Yes,"Preregistration,Open Materials and/or Code,Open Data,Pre-publication archiving,Open access publishing,Open access archiving in a repository",,,
2021-04-08 03:51:48,2021-04-08 04:00:22,100,514,True,2021-04-08 04:00:24,R_1dNvIfu9m25jF6D,Rotterdam School of Management (RSM),Business-society management,,Tenure track,ERIM,"I am aware, but have not used open science practices in my research",Moderately important,"I am aware of study preregistration, but have not used it in my research",Other,"I most do inductive research, for which pre-registration would make no sense.",,Researchers in my discipline do not use materials and/or code,"I am aware of open materials and/or code, but have not used it in my research","I am aware of open materials and/or code, but have not shared my own",Other,"Again, sharing data does not make sense for qualitative data (but seems reasonable for other types of data).",I don’t know/prefer not to answer,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data",Other,"For qualitative data, this often makes little sense (particularly for field notes and other data whose function is mainly to help people who collectected the data remember further details).",I don’t know/prefer not to answer,I am aware of pre-publication archiving but have not used it,"Some journals might not publish findings that are uploaded to a pre-publication archive,Other",Journals such as AMJ require that the document is non online anywhere...,None,Other,All four papers that I published are hidded behind a paywall. That is a shame.,I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of time to learn open science practices",,No,,Yes,Open access publishing,,,
2021-04-08 05:09:38,2021-04-08 05:16:11,100,392,True,2021-04-08 05:16:12,R_274ekL1mOAbwvGB,Erasmus School of Economics (ESE),,Economics,Tenured faculty member,Tinbergen,I have some experience with open science practices,Very important,I regularly preregister my studies,I do not share any of these concerns,,4,Very important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,I do not share any of these concerns,,Very important,I regularly use open data,I regularly share open data,I do not share any of these concerns,,Very important,I have extensive experience with preprint archiving,I do not share any of these concerns,,Some,"My open access publications did not involve fees,It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",,"I am aware of it, but don't use it","I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I use this,I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD",Lack of funding for open access publishing,,"Yes, I share my knowledge with my colleagues informally",,No,,,,
2021-04-08 05:09:25,2021-04-08 05:16:26,100,420,True,2021-04-08 05:16:28,R_1NtdGhNNFOLduEQ,Erasmus School of Economics (ESE),,Applied economics,Tenured faculty member,Tinbergen,I have some experience with open science practices,Not at all important,"I am aware of study preregistration, but have not used it in my research",Preregistration might make it more difficult to publish in certain journals,,,Very important,"I am aware of open materials and/or code, but have not used it in my research","I have some experience with open materials and/or code, but do not share mine regularly",Others might find it difficult to understand my materials and/or code,,Very important,"I have some experience using open data, but do not use them regularly",I don’t know/prefer not to answer,I do not share any of these concerns,,Extremely important,I have extensive experience with preprint archiving,I do not share any of these concerns,,Some,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,It was paid using the Erasmus Open Access Fund,I collaborated with others and other co-author paid the fees with their research funding",,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",I use this,I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of professional staff that provide support for open science practices,Lack of research funding to support open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices",,No,,No,,,,
2021-04-08 05:28:39,2021-04-08 05:34:38,100,358,True,2021-04-08 05:34:39,R_33Dq6q3tC5XVlVj,Erasmus School of Economics (ESE),,Economics,Tenured faculty member,Tinbergen,I have some experience with open science practices,Not at all important,"I am aware of study preregistration, but have not used it in my research","I need to look at my data before I can decide how to best analyse it,Preregistration might lead to other people taking my research idea and implementing my plan",,,Very important,"I am aware of open materials and/or code, but have not used it in my research",I regularly share open materials and/or code,"I might not receive appropriate credit for developing the materials and/or code if I make them openly available,There could be issues related to intellectual property",,Slightly important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data","I think it is unfair for researchers beyond the original team to benefit (e.g., through future publications, career advancement) from my data collection",,I don’t know/prefer not to answer,I don’t know/prefer not to answer,I do not share any of these concerns,,Most,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers",,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I use this,I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of information about open science practices,Lack of professional staff that provide support for open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of expertise to engage in open science practices (e.g., assignment of metadata)",,"Yes, I share my knowledge with my colleagues informally",,I don’t know/prefer not to answer,,,,
2021-04-08 05:29:56,2021-04-08 05:35:51,100,354,True,2021-04-08 05:35:52,R_OCe39bPZxqx5QKl,Erasmus School of Economics (ESE),,Econometrics,Tenured faculty member,ERIM,I have some experience with open science practices,Not at all important,"Until now, I was unaware of study preregistration",I do not share any of these concerns,,,Very important,"I have some experience with open materials and/or code, but do not use them regularly","I have some experience with open materials and/or code, but do not share mine regularly",I do not share any of these concerns,,Very important,"I have some experience using open data, but do not use them regularly","I have some experience sharing open data, but not regularly",I do not share any of these concerns,,Moderately important,I have some experience with pre-publication archiving,Making my work available pre-publication might reduce the number of citations to the ultimately published work,,None,I don’t know/prefer not to answer,,I am unaware of this,I use this,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I use this,Personal website,,,"No, I did not participate since I already had an ORCID iD",Lack of funding for open access publishing,,No,,Yes,"Open Materials and/or Code,Open Data,Open access publishing",,,
2021-04-08 05:24:14,2021-04-08 05:37:04,100,769,True,2021-04-08 05:37:06,R_238D46m2gP8ySvb,Erasmus School of Economics (ESE),,Applied economics,Tenured faculty member,"ERIM,Tinbergen",I have some experience with open science practices,Moderately important,"I have some experience with study preregistration, but do not use it regularly","It might delay data collection,Other","it may give a false sense of security in terms of ""if preregistered, then we cannot engange in unethical research practices"". I think it will still be able to engage in unethical research practices",,Moderately important,"I am aware of open materials and/or code, but have not used it in my research",I regularly share open materials and/or code,"Sharing these materials and/or code could result in others asking me to provide assistance for their research,I might lose control over how my materials and/or code are being used,I might not receive appropriate credit for developing the materials and/or code if I make them openly available,Other",making these materials publicly available takes more time,Moderately important,"I am aware of open data, but have not used this in my research","I have some experience sharing open data, but not regularly","There could be issues related to intellectual property,There could be issues related to ethics,There could be issues related to privacy,I might not receive appropriate credit for my data collection,Other researchers could use my data for another study that I intended to conduct in the future,It will take too much time or effort to share research data",,Moderately important,I have some experience with pre-publication archiving,"Some journals might not publish findings that are uploaded to a pre-publication archive,Non-peer-reviewed findings might add noise to the literature",,I don’t know/prefer not to answer,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,It was paid using the Erasmus Open Access Fund",,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of research funding to support open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices",,"Yes, I share my knowledge with my colleagues informally",,Yes,"Preregistration,Open Materials and/or Code,Open Data,Pre-publication archiving,Open access publishing,Open access archiving in a repository",,,
2021-04-08 05:27:04,2021-04-08 05:37:11,100,606,True,2021-04-08 05:37:11,R_2bN7783FlHJVH2m,Erasmus School of Economics (ESE),,Economics,Tenured faculty member,Tinbergen,I have some experience with open science practices,Very important,"I have some experience with study preregistration, but do not use it regularly",I need to look at my data before I can decide how to best analyse it,,,Very important,"I have some experience with open materials and/or code, but do not use them regularly",I regularly share open materials and/or code,Other,"Some data sets are proprietary and cannot be shared, or third parties necessary for conducting research may not approve sharing data.  ",Moderately important,I regularly use open data,"I am aware of open data, but have not shared my data","There could be issues related to intellectual property,There could be issues related to privacy",,Very important,I have extensive experience with preprint archiving,I do not share any of these concerns,,Most,I don’t know/prefer not to answer,,I am unaware of this,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I use this,I am unaware of this,I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of recognition in my field about the value of open science practices,Lack of time to learn open science practices",,No,,I don’t know/prefer not to answer,,,,
2021-04-08 05:35:19,2021-04-08 05:41:57,100,398,True,2021-04-08 05:41:57,R_3qR2hXpR2x5oSMh,Erasmus School of Economics (ESE),,Applied economics,Tenure track,Tinbergen,I have some experience with open science practices,Moderately important,"I am aware of study preregistration, but have not used it in my research",I do not share any of these concerns,,,Extremely important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,"Sharing these materials and/or code could result in others asking me to provide assistance for their research,There could be issues related to intellectual property",,Extremely important,I regularly use open data,I regularly share open data,"There could be issues related to intellectual property,There could be issues related to ethics,There could be issues related to privacy",,Not at all important,I am aware of pre-publication archiving but have not used it,"Some journals might not publish findings that are uploaded to a pre-publication archive,Non-peer-reviewed findings might add noise to the literature",,Some,I received a fee waiver from the journal,,I am unaware of this,I use this,"I am aware of it, but don't use it",I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of research funding to support open science practices,Lack of training required to implement open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of interest from researchers",,No,,I don’t know/prefer not to answer,,,,
2021-04-08 05:42:30,2021-04-08 05:48:18,100,347,True,2021-04-08 05:48:20,R_sZ2fZYGTWRAMmZP,Erasmus School of Economics (ESE),,Business economics,Tenured faculty member,Neither,"Until now, I was unaware of open science practices",Slightly important,I don’t know/prefer not to answer,I do not share any of these concerns,,,Moderately important,"Until now, I hadn't heard of open materials and/or code","Until now, I hadn't heard of open materials and/or code",I do not share any of these concerns,,Moderately important,"I am aware of open data, but have not used this in my research","I am aware of open data, but have not shared my data",Other researchers could use my data for another study that I intended to conduct in the future,,Not at all important,I am aware of pre-publication archiving but have not used it,I do not share any of these concerns,,None,I don’t know/prefer not to answer,,I am unaware of this,"I am aware of it, but don't use it",I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,I am unaware of this,,,,,"No, I did not participate and I do not have an ORCID iD",I do not perceive any barriers,,I don’t know/prefer not to answer,,No,,,,
2021-04-08 05:40:47,2021-04-08 05:49:52,100,544,True,2021-04-08 05:49:53,R_2rZ6KKP4hu92u0u,Erasmus School of Economics (ESE),,Econometrics,Tenured faculty member,Tinbergen,"I am aware, but have not used open science practices in my research",Slightly important,"I am aware of study preregistration, but have not used it in my research","I need to look at my data before I can decide how to best analyse it,Preregistration prevents exploratory research,Preregistration stifles research creativity or flexibility",,,Very important,"I have some experience with open materials and/or code, but do not use them regularly","I have some experience with open materials and/or code, but do not share mine regularly","Others might find it difficult to understand my materials and/or code,Sharing these materials and/or code could result in others asking me to provide assistance for their research,There could be issues related to intellectual property",,Very important,"I have some experience using open data, but do not use them regularly","I have some experience sharing open data, but not regularly","There could be issues related to intellectual property,There could be issues related to privacy,I think it is unfair for researchers beyond the original team to benefit (e.g., through future publications, career advancement) from my data collection,I might not receive appropriate credit for my data collection,Other researchers could use my data for another study that I intended to conduct in the future,It will take too much time or effort to share research data",,Extremely important,I have extensive experience with preprint archiving,I do not share any of these concerns,,None,I submit my research to journals that do not provide open access options,,"I am aware of it, but don't use it",I use this,I am unaware of this,I am unaware of this,I use this,I use this,I am unaware of this,I use this,I am unaware of this,,,,,"Yes, I participated and got an ORCID iD","Lack of funding for open access publishing,Lack of credit in my institution for engaging in open science,Lack of recognition in my field about the value of open science practices,Lack of research funding to support open science practices,Lack of time to learn open science practices",,No,,Yes,"Open Materials and/or Code,Open Data,Pre-publication archiving,Open access publishing,Open access archiving in a repository",,,
2021-04-08 06:00:12,2021-04-08 06:07:20,100,428,True,2021-04-08 06:07:23,R_273v2gR8rAbHxCR,Erasmus School of Economics (ESE),,Applied economics,Postdoc or researcher,"ERIM,Tinbergen",I have extensive experience with open science practices,Very important,"I have some experience with study preregistration, but do not use it regularly",Preregistration prevents exploratory research,,,Extremely important,I regularly use and/or create open materials and/or code,I regularly share open materials and/or code,I do not share any of these concerns,,Very important,I regularly use open data,I regularly share open data,There could be issues related to privacy,,Slightly important,I am aware of pre-publication archiving but have not used it,"Non-peer-reviewed findings might add noise to the literature,Making my work available pre-publication might reduce the number of citations to the ultimately published work,Other",Pre-publication might get popular press coverage without being peer-reviewed.,Most,"It was paid under the ""blanket agreement"" between VSNU and selected academic publishers,I paid the fees from my own research fund,I collaborated with others and other co-author paid the fees with their research funding,I received a fee waiver from the journal",,I use this,I use this,I use this,I am unaware of this,"I am aware of it, but don't use it","I am aware of it, but don't use it",I am unaware of this,I use this,I am unaware of this,,,,,"No, I did not participate since I already had an ORCID iD","Lack of funding for open access publishing,Lack of professional staff that provide support for open science practices,Lack of research funding to support open science practices,Lack of time to engage in open science practices,Lack of time to learn open science practices,Lack of interest from researchers",,"Yes, I share my knowledge with my colleagues informally,Yes, I share my knowledge with my students or fellow research students,Yes, I share my knowledge with others through forum discussions (e.g. Facebook groups),Yes, I share my knowledge with others through writing posting (e.g. blogs, webs, magazines)",,Yes,"Preregistration,Open Data,Open access publishing",,,
